SKU,HGT1,WID1,DPTH1,product_volume,movement_frequency,movement_category,storage_priority_score,storage_priority,main_storage_location,location_pick_count,recommended_zone,relocation_recommended,recommendation_reason
2954788157,14,5,5,350,669,High Movement,0.5546415094339623,Medium Priority,N25722,669,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2954788198,24,3,28,2016,1535,High Movement,0.845188679245283,High Priority,N25522,1534,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
2954793230,31,19,4,2356,4073,High Movement,0.9326037735849056,High Priority,N27122,3941,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
2954793248,2,23,9,414,914,High Movement,0.6176226415094339,Medium Priority,N25922,913,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2954793256,2,10,25,500,792,High Movement,0.6066603773584904,Medium Priority,N25723,791,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2954793304,15,16,12,2880,2650,High Movement,0.9157735849056604,High Priority,N32733,2648,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
2954793487,2,23,9,414,815,High Movement,0.5982075471698112,Medium Priority,N26122,814,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
3575421127,33,5,4,660,1454,High Movement,0.7230566037735848,Medium Priority,183123,1454,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
3575423123,34,4,4,544,4316,High Movement,0.7954150943396225,Medium Priority,182322,4310,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
3575423214,33,5,5,825,1809,High Movement,0.7700377358490565,Medium Priority,182723,1808,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
3575423313,34,6,6,1224,671,High Movement,0.6825094339622642,Medium Priority,182324,671,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
3575423412,48,5,5,1200,351,Medium Movement,0.5608490566037735,Medium Priority,182123,350,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
3575524517,34,6,6,1224,17,Low Movement,0.2630377358490566,Low Priority,182323,17,ZONE_C,False,Lower movement priority; can use lower-access storage.
3575625140,33,6,6,1188,748,High Movement,0.6950377358490566,Medium Priority,182523,748,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
3575721120,40,6,6,1440,77,Low Movement,0.3856792452830189,Low Priority,183333,77,ZONE_C,False,Lower movement priority; can use lower-access storage.
3575821136,17,3,11,561,67,Low Movement,0.2634339622641509,Low Priority,181922,67,ZONE_C,False,Lower movement priority; can use lower-access storage.
3575926125,6,9,9,486,109,Low Movement,0.2987735849056603,Low Priority,181523,109,ZONE_C,False,Lower movement priority; can use lower-access storage.
