SKU,pick_count,total_quantity_picked,movement_frequency
CM-4891,517,10252,517
CM-523585,15,95,15
CM-6369,498,1214,498
CM-6970,171,2734,171
CM-7151,476,8212,476
CM-7168,915,22325,915
CM-7175,1819,23350,1819
CM-7182,174,1637,174
CM-7298,114,814,114
CM-7366,253,2937,253
CM-7373,661,7758,661
CM-7700,1519,23884,1519
CM-7786,265,4021,265
CM-7793,1043,20754,1043
CM-8585,657,8157,657
CM-8639,265,3374,265
CQ-715625,5,124,5
CQ-715632,4,124,4
CQ-715649,8,310,8
CQ-715663,3,132,3
CQ-715885,3,84,3
CQ-715892,2,36,2
CQ-715939,1,36,1
CQ-715946,1,96,1
CQ-744359,1,96,1
CQ-744366,1,96,1
CQ-745158,1,48,1
CQ-746315,4,114,4
CQ-746339,3,78,3
CQ-748692,1,48,1
CQ-748760,1,12,1
CQ-752484,3,72,3
CQ-752491,1,12,1
D0-512111,639,8837,639
D0-512135,1143,23241,1143
D0-513118,964,15703,964
D0-513132,1951,52907,1951
D074126307,1282,24767,1282
D074126399,1120,16551,1120
D074126415,1034,17033,1034
D9-24123,13,454,13
D9-31605,476,15300,476
D9-31677,398,12316,398
D9-31684,620,16279,620
D9-31691,607,18385,607
D9-31707,937,41006,937
D9-31714,340,11178,340
D9-31728,367,13771,367
D9-31738,546,16533,546
D9-31745,616,20603,616
D9-31752,794,27133,794
D9-31769,582,20474,582
D9-31773,912,40701,912
D9-31783,743,33626,743
D9-31797,259,9362,259
D9-50837,153,7252,153
D9-50839,235,10283,235
D9-50840,75,1715,75
D9-50845,66,1126,66
D9-50848,54,1240,54
D9-50854,156,9799,156
D9-50855,129,6876,129
D9-50857,175,7960,175
D9-50910,365,27693,365
D9-50918,303,20759,303
D9-50922,407,28067,407
D9-50924,82,4264,82
D9-50929,33,958,33
D9-50932,26,475,26
D9-50934,30,701,30
D9-523905,103,7148,103
D9-56234,1,48,1
D9-56556,1,5,1
D9-56561,1,48,1
D9-56563,1,48,1
D9-56565,1,48,1
D9-56567,1,48,1
D9-73345,177,7670,177
D9-73346,179,8923,179
D9-73347,196,12283,196
D9-73348,232,9756,232
D9-73349,152,6134,152
D9-73361,10,34,10
D9-73367,13,40,13
D9-73368,8,47,8
D9-7379,881,59541,881
D971021171,569,46368,569
D971021213,854,69582,854
D971021230,1222,103118,1222
D971021239,1368,119927,1368
D971021241,547,31292,547
D971021242,630,42789,630
D971021262,1197,75966,1197
D971021296,1842,88707,1842
D971021361,834,61356,834
D971021395,637,47864,637
D971022211,872,73109,872
D971022229,1090,102286,1090
D971022260,1020,75390,1020
D971029125,4864,438940,4864
D971029141,6400,588049,6400
D976223237,14,361,14
D976223310,146,7685,146
DC-1111848,1738,175122,1738
DC-11159,1025,232513,1025
DC-131437,1367,179351,1367
DC-131464,649,65563,649
DC-427117,911,44800,911
DC-522892,47,569,47
DC-820015,3103,477968,3103
DC-820095,6043,1311520,6043
DC-989164,167,36803,167
DO-1124,73,4776,73
DO-2184,260,23276,260
DO-2666,433,26797,433
DPSAT57332,19,95,19
DPSQ211332,14,61,14
DPSQ211352,5,7,5
DT-04542,7,16,7
DT-10239,13,21,13
DT-117964,1,200,1
DT-12574,15,25,15
DT-130785,14,14,14
DT-13947,19,31,19
DT-13948,11,21,11
DT-14174,17,29,17
DT-181206,15,15,15
DT-18526,8,19,8
DT-18840,8,24,8
DT-48520,11,31,11
DT-48529,10,16,10
DT-509130,27,34,27
DT-509135,25,38,25
DT-509168,24,34,24
DT-509179,19,51,19
DT-509250,18,18,18
DT-509641,1,9,1
DT-51386,1,79,1
DT-538745,1,50,1
DT-538759,3,450,3
DT-548677,16,16,16
DT-548679,12,18,12
DT-549434,13,20,13
DT-549446,11,12,11
DT-549619,16,37,16
DT-549621,8,26,8
DT-703935,30,35,30
DT-726698,21,27,21
DT-72677,1,252,1
DT-733209,12,228,12
DT-733299,12,125,12
DT-733319,20,240,20
DT-733329,18,385,18
DT-760600,1,29,1
DT-762448,8,137,8
DT-772677,3,623,3
DT-781478,1,31,1
DT-781548,1,44,1
DT-782835,1,105,1
DT-783819,1,72,1
DT-783915,14,22,14
DT-92060,10,19,10
DT-92077,7,11,7
DT-92770,9,23,9
DT-IFASUT,2,950,2
DU-213122,64,1132,64
DU-213124,24,1176,24
DU-213126,9,26,9
DU-214128,162,6878,162
DU-214131,137,3687,137
DU-214134,56,146,56
DU-214139,114,2692,114
DU-214143,71,2790,71
DU-215114,192,7016,192
DU-215119,423,17022,423
DU-215128,74,1384,74
DU-215132,95,2960,95
DU-215135,247,5198,247
DU-215138,135,4855,135
DU-215140,166,5937,166
DU-215146,193,5845,193
DU-215148,128,4245,128
DU-215160,23,782,23
DU-215162,8,171,8
DU-215168,28,922,28
DU-215172,13,389,13
DU-217116,13,219,13
DU-218110,71,921,71
DU-218114,20,296,20
DU-218117,71,806,71
DU-218123,14,231,14
DU-218126,21,342,21
DU-218129,26,393,26
DU-219110,37,1380,37
DU-219112,82,1687,82
DU-219118,39,631,39
DU-219120,25,583,25
DU-219128,28,449,28
DU-222128,3,37,3
EF-1126,142,3935,142
EF-1127,33,888,33
EF-1131,3,105,3
EF-1132,37,72,37
EF-1133,29,691,29
EF-1134,29,612,29
EF-2103,57,952,57
EF-2107,16,80,16
EF-2112,2007,51567,2007
EF-2113,77,1459,77
EF-2114,147,279,147
EF-2182,307,5589,307
EF-2183,746,14013,746
EF-21833,34,3864,34
EF-2214,203,3494,203
EF-2276,77,2460,77
EF-2277,67,1096,67
EPOUD41352,1,1,1
EQ-15824,2862,260914,2862
EQ-15848,2202,158495,2202
EQ-15862,1326,81686,1326
EQ-15886,1338,85802,1338
EQ-15893,1305,39423,1305
EQ-15916,1085,37730,1085
EQ-20750,373,8611,373
EQ-20873,365,11037,365
EQ-72820,267,17079,267
EQ-72828,265,7799,265
EQ-72833,217,5617,217
F6-2111614,115,17548,115
F6-29222,407,5668,407
F6-29232,17,194,17
F6-29244,184,2609,184
F6-29402,94,1403,94
F6-29428,275,3290,275
F6-29431,193,2150,193
F6-29441,152,1987,152
F6-29445,99,1273,99
F6-29534,202,2906,202
F6-29535,211,2760,211
F6-29537,7,62,7
F6-29586,273,3792,273
F6-29593,11,120,11
F6-29663,176,2100,176
F6-29664,136,1812,136
F6-29665,55,658,55
F6-29668,168,1231,168
F6-523622,45,703,45
F6-52416,115,14734,115
F645012213,3551,83364,3551
F645012221,2738,59929,2738
F645012239,2314,58856,2314
F645012262,1548,28069,1548
F645012270,1300,24075,1300
F7-11748,742,14887,742
F7-170839,1275,26426,1275
F7-170853,3419,97904,3419
F7-170860,4813,154554,4813
F7-170877,1865,46781,1865
F7-170884,1309,34527,1309
G0-119612,1161,45498,1161
G0-119613,931,36836,931
G0-119614,869,33987,869
G0-119615,759,27139,759
G0-119616,292,10914,292
G0-128112,1356,30964,1356
G0-128113,1126,28017,1126
G0-128114,1007,24108,1007
G0-128115,801,18512,801
G0-128116,396,9862,396
G0-661204,3593,18038,3593
G0-661228,2688,8912,2688
G0-661235,3990,20421,3990
G0-661242,3636,17930,3636
G0-661280,2399,7999,2399
G0-661716,127,2601,127
G0-666711,2220,8490,2220
G0-666919,1977,8344,1977
G0-668104,2403,7234,2403
G0-668166,301,931,301
G0-668173,1997,5762,1997
G0-668487,766,25149,766
G0-668500,453,12337,453
G0-668616,282,8022,282
G0-668623,347,8959,347
G0-668630,221,5382,221
G0-668784,2097,138004,2097
G093421209,36,81,36
G097821170,610,10401,610
G097821441,530,8153,530
G9-521,462,15371,462
G9-522,481,10501,481
G973821100,1228,27486,1228
G973821135,586,19094,586
G973821151,1233,26235,1233
G973821176,515,19183,515
GM-3572,3573,106695,3573
GM-3619,2198,44130,2198
GM-3633,1418,15531,1418
H3-22129,1077,24663,1077
H3-221292,7,541,7
H3-22161,1262,37276,1262
H3-22176,1346,34048,1346
H5-11045,49,2599,49
H5-11236,51,1971,51
H5-115694,718,6395,718
H5-11823,26,1183,26
H5-12967,41,1945,41
H5-13318,38,1628,38
H5-1394317,1388,23988,1388
H5-141781,243,3443,243
H5-15127,267,3502,267
H5-158975,194,2505,194
H5-262110,138,1823,138
H5-26231,2874,10267,2874
H5-26247,78,1047,78
H5-26301,62,2469,62
H5-26921,52,675,52
H5-275012,78,1160,78
H5-275418,120,1638,120
H5-27904,651,6850,651
H5-279058,505,5816,505
H5-28664,40,1434,40
H5-35481,51,740,51
H5-38111,58,1514,58
H5-38296,382,3341,382
H5-38811,30,444,30
H5-388171,458,6124,458
H5-38818,487,8097,487
H5-394812,1296,28658,1296
H5-395261,466,7934,466
H5-39802,23,432,23
H5-42372,339,711,339
H5-44641,4010,19522,4010
H5-44661,910,2136,910
H5-461811,112,1352,112
H5-5023111,34,480,34
H5-50411,56,1932,56
H5-51002,1837,21113,1837
H5-51004,1594,18630,1594
H5-51005,1496,17991,1496
H5-51006,1238,12775,1238
H5-51008,763,7986,763
H5-51090,1184,17360,1184
H5-51093,1457,19619,1457
H5-51095,663,8121,663
H5-51098,1106,12985,1106
H5-51266,2,18,2
H5-51282,212,2085,212
H5-51283,145,1404,145
H5-51284,283,2808,283
H5-515099,1394,13371,1394
H5-518727,855,13330,855
H5-52023,1186,17401,1186
H5-52103,494,4236,494
H5-52323,391,3213,391
H5-52328,359,2971,359
H5-52425,528,7614,528
H5-52661,39,540,39
H5-53111,565,8486,565
H5-53178,410,914,410
H5-533261,361,3203,361
H5-53801,176,2358,176
H5-53900,366,5150,366
H5-54091,1244,14522,1244
H5-54111,670,10208,670
H5-54165,1520,46668,1520
H5-54193,809,14097,809
H5-548796,108,900,108
H5-54883,359,3169,359
H5-551413,64,706,64
H5-56384,376,5831,376
H5-56385,908,9981,908
H5-56386,480,5636,480
H5-56387,590,6954,590
H5-56388,355,7021,355
H5-56389,777,10449,777
H5-58111,393,4765,393
H5-58847,289,3359,289
H5-59652,376,11486,376
H5-F20541,31,498,31
H5-F26051,68,902,68
H5-F40811,79,1277,79
H538966111,383,6819,383
H592021105,1072,18547,1072
H592021148,2267,43330,2267
H592021163,1098,18333,1098
H592021189,994,18092,994
H592021239,963,18935,963
H5F2021169,285,3773,285
H5F2021193,267,4007,267
H5F2421188,374,5359,374
H5F2921170,35,590,35
H5F2921179,96,1734,96
H5F2921181,15,204,15
H5F2921185,307,4886,307
H5F2921187,121,1822,121
H5F2921188,219,3161,219
H5F2921189,339,4958,339
H5F2921195,76,1292,76
H6-122119,2,20,2
H6-21339A,3,1296,3
H6-21346A,47,188,47
H6-411920,16,6144,16
H6-524339,2,960,2
H6-712849,17,82,17
H6-712887,9,36,9
H6-714720,5,35,5
H6-715796,29,632,29
H6-725658,10,336,10
H6-732151,11,44,11
H6-732168,3,140,3
H6-732281,20,80,20
H6-732908,5,34,5
H6-735190,21,63,21
H6-746417,24,354,24
H6-746837,19,38,19
H6-747032,1,72,1
H6-749036,5,15,5
H6-749500,12,48,12
H6-755372,6,119,6
H6-756867,12,24,12
H6-768808,7,21,7
H9-515528,151,3431,151
HAE51352,20,54,20
HF-24576,1,6,1
HF-24583,5,31,5
HF-24584,6,37,6
HF-24585,24,162,24
HF-25610,6,66,6
HF-25612,5,54,5
HF-25613,8,102,8
HF-25621,6,96,6
HF-25642,53,674,53
HF-25646,70,1026,70
HF-26200,70,940,70
HF-27105,41,328,41
HF-49830,14,84,14
HF-58589,22,252,22
HF-58594,67,570,67
HF-72143,85,1067,85
HF-72144,314,5347,314
HF-80229,3,6,3
HF-80681,223,3212,223
HF-80683,72,946,72
HF-81570,103,1342,103
HF-81582,90,1383,90
HF-86892,12,102,12
HF-87109,18,138,18
HF-87407,39,320,39
HF-87476,32,222,32
HF-87487,64,776,64
HF-87488,244,3392,244
HF-88238,182,3032,182
HF-88242,91,1478,91
HF-88255,86,1018,86
HF-88256,204,3148,204
HF-88369,55,396,55
HF-92096,1,6,1
I2-09807,2,28,2
I2-12022,13,64,13
I2-13629,2,29,2
I2-13761,1,62,1
I2-14361,155,833,155
I2-15858,70,587,70
I2-15859,66,551,66
I2-16312,16,155,16
I2-16615,7,90,7
I2-16616,8,120,8
I2-18030,333,10348,333
I2-18039,394,13243,394
I2-18044,436,14887,436
I2-18164,1,7,1
I2-18178,2,59,2
I2-20146,30,409,30
I2-20246,32,576,32
I2-20716,163,290,163
I2-20720,80,156,80
I2-21041,32,49,32
I2-21082,1,88,1
I2-22111,1,12,1
I2-23098,1,18,1
I2-23108,1,139,1
I2-23252,2,60,2
I2-23324,1,12,1
I2-23491,2,11,2
I2-24111,167,1420,167
I2-24307,1,12,1
I2-24342,76,1166,76
I2-24389,1,29,1
I2-24492,1,28,1
I2-24521,130,1804,130
I2-24773,2,25,2
I2-24901,1,60,1
I2-25221,11,116,11
I2-25245,2,7,2
I2-25641,1,6,1
I2-26855,1,23,1
I2-26873,1,11,1
I2-26987,2,47,2
I2-29450,2,30,2
I2-29513,1,21,1
I2-31111,152,201,152
I2-31391,1,26,1
I2-32148,1,16,1
I2-32321,58,639,58
I2-32414,25,714,25
I2-32660,1,21,1
I2-33111,98,153,98
I2-33211,78,155,78
I2-33611,56,116,56
I2-33820,1,24,1
I2-34039,11,173,11
I2-35013,337,468,337
I2-35088,41,388,41
I2-38131,30,303,30
I2-38215,19,139,19
I2-38217,25,206,25
I2-42711,9,73,9
I2-42951,20,186,20
I2-46711,1,3,1
I2-47443,2,23,2
I2-51111,4,4,4
I2-51322,2,336,2
I2-55111,37,112,37
I2-633008,14,120,14
I2-638842,82,781,82
I2-76311,54,64,54
I2-80393,2,2,2
I2-81113,243,501,243
I2-81114,189,394,189
I2-81127,258,545,258
I2-81128,202,484,202
I2-81136,234,609,234
I2-81137,133,342,133
I2-81138,172,471,172
I2-83171,223,425,223
I2-83179,178,322,178
I2-83181,200,396,200
I2-83446,133,250,133
I2-83447,136,263,136
I2-89112,310,493,310
I2-91112,132,189,132
I291316178,673,880,673
I291316244,7,115,7
I291316252,12,162,12
I291316285,875,1394,875
I291316525,550,2456,550
I291316533,730,3883,730
I291316582,2796,5469,2796
I292316705,28,181,28
I292316813,1,3,1
I294116120,9,245,9
I294316134,7,111,7
I294316142,24,376,24
I294416132,144,2046,144
I294416173,23,271,23
I29A216138,93,1379,93
I490761125,5282,390479,5282
I490761174,462,15261,462
I490761258,4475,289674,4475
I490761265,1169,25241,1169
I7-10111,4,18,4
I7-11977,6,186,6
I7-119770,8,240,8
I7-12227,211,3285,211
I7-13336,171,2638,171
I7-14103,93,2316,93
I7-14445,207,3237,207
I7-148023,27,426,27
I7-148054,126,1800,126
I7-148942,163,6036,163
I7-149110,56,2130,56
I7-152344,251,4546,251
I7-15554,105,1526,105
I7-15864,3,17,3
I7-158644,4,23,4
I7-16662,12,181,12
I7-170137,1808,52706,1808
I7-1701722,1263,10402,1263
I7-170175,1326,24569,1326
I7-170197,1749,44195,1749
I7-170497,167,2266,167
I7-172327,643,14748,643
I7-172337,1033,20338,1033
I7-1723434,754,5343,754
I7-172375,817,13332,817
I7-172397,887,16698,887
I7-176197,353,4726,353
I7-18476,30,366,30
I7-18513,89,844,89
I7-19778,17,504,17
I7-19782,18,558,18
I7-340303,6,600,6
I7-369755,6291,527029,6291
I7-48906,241,5472,241
I7-48907,289,5373,289
I7-48944,237,4272,237
I7-49221,262,4308,262
I7-49465,107,1898,107
I7-49882,209,2950,209
I7-49883,183,2495,183
I7-49884,119,1650,119
I7-49885,179,2393,179
I7-52295,1,24,1
I7-52296,1,60,1
I7-52297,4,136,4
I7-52299,6,260,6
I7-56640,145,1916,145
I7-56650,660,9916,660
I7-56651,621,8937,621
I7-56652,294,4114,294
I7-56653,374,5352,374
I7-56655,141,1905,141
I7-611131,42,7893,42
I7-611151,222,4225,222
I7-611175,695,14161,695
I7-611182,403,10367,403
I7-611212,516,9924,516
I7-611229,507,9014,507
I7-611250,310,5975,310
I7-66215,1930,4189,1930
I7-66216,2523,8072,2523
I7-66217,4085,18794,4085
I7-66851,7,28,7
I7-68318,70,935,70
I7-70115,1619,76690,1619
I7-71012,2413,39633,2413
I7-71013,557,8996,557
I7-71014,498,10814,498
I7-71015,613,12132,613
I7-71016,701,13410,701
I7-71017,604,13284,604
I7-72615,698,40677,698
I7-76145,79,396,79
I7-76621,1,1,1
I7-A71236,159,3233,159
I7-A71237,423,8803,423
I7-A71238,442,11067,442
I7-A71243,1635,8258,1635
I7-A71244,2334,13361,2334
I7-A71245,2196,12639,2196
I7-DASN16,4,4,4
I7-DIFE16,11,25,11
I7-I229261,481,17223,481
I7-I229933,260,10614,260
I799514100,89,1343,89
I799514143,8,94,8
I799514151,266,4214,266
I799514192,493,8487,493
I799514218,164,2499,164
I799514234,382,7697,382
I799514242,234,4988,234
I799514416,237,3982,237
I799514424,443,7362,443
I7I1914134,297,5178,297
I7I1914175,270,4946,270
I7I1914183,354,6129,354
I7I2214120,197,7068,197
I7I2214161,252,16642,252
I7I2214179,173,7256,173
I7I2214202,8,110,8
I7I2214229,4,44,4
I7I2214245,15,436,15
I7I2214369,10,416,10
I7I2214518,149,6522,149
I7I2214526,276,9306,276
I7I2214534,139,2463,139
I7I2214542,148,5412,148
I7I2214625,51,680,51
I7I2214667,66,15840,66
I7I2214682,38,1108,38
I7I2214922,100,6219,100
I7I2317121,259,3622,259
I7I2317139,235,6576,235
I7I2317147,230,3316,230
I7I2317155,202,2955,202
I7I2317162,147,3294,147
I9-3QL511,1,0,1
I9-713223,476,18090,476
I9-713226,431,10059,431
IFM51316,36,444,36
IMV6X51269,97,2454,97
IMV6X51352,25,36,25
IQ21X51284,4,4,4
IQ21X51316,149,4098,149
IS-12291,1004,31358,1004
IS-2330,160,1449,160
IS-2375,402,7116,402
IS-37058,245,2111,245
IT-125219,16,144,16
IT-151041,131,1939,131
IT-151850,256,4088,256
IT-151867,158,2610,158
IT-151881,29,468,29
IT-162238,1,6,1
IT-165925,1,3,1
IT-40243,170,1585,170
IT-66243,177,1483,177
IT-66342,169,1399,169
IT-66441,124,1064,124
IT-66816,44,396,44
IT-67240,277,2892,277
IT-67349,161,1698,161
IT21X41316,928,69156,928
IT21X41352,1,1,1
IT31X61316,1103,83251,1103
IT31X61352,2,3,2
K2-11133,31,472,31
K2-11166,324,4181,324
K2-11176,273,3610,273
K2-11804,198,2397,198
K2-12811,65,1005,65
K2-12812,106,1380,106
K2-13207,151,2086,151
K2-13439,59,533,59
K2-13611,96,1037,96
K2-13629,125,1461,125
K2-13633,96,1216,96
K2-15173,134,1168,134
K2-15629,27,344,27
K2-16822,20,240,20
K2-16833,77,907,77
K2-21132,41,600,41
K2-21224,606,25746,606
K2-21281,38,567,38
K2-21283,66,1854,66
K2-21356,539,31653,539
K2-21424,50,1578,50
K2-22122,38,434,38
K2-25221,169,1160,169
K2-25222,145,956,145
K2-25223,100,674,100
K2-25236,33,315,33
K2-25241,84,734,84
K2-35241,48,371,48
K2-35247,50,376,50
K2-35361,54,630,54
K2-35362,15,177,15
K2-35596,109,882,109
K2-35597,106,862,106
K2-36627,275,3486,275
K2-36629,171,2236,171
K2-36641,114,1327,114
K2-36648,284,3459,284
K2-36671,11,136,11
K2-36676,192,2338,192
K2-5112,177,1798,177
K2-5117,129,1315,129
K2-5172,110,1052,110
K2-81694,140,2157,140
K2-82212,56,1561,56
K294621107,156,1329,156
K294621132,474,6222,474
K294621165,534,7474,534
K294621215,226,1793,226
K294621371,1506,20071,1506
K294621389,1173,15371,1173
K294621413,1957,27309,1957
K294621462,578,7483,578
K294621512,259,2833,259
K294621520,170,2008,170
K294921101,819,10752,819
K294921128,476,7497,476
K294921144,521,6347,521
K294921169,640,9457,640
K294921185,409,5282,409
K294921219,482,6511,482
K294921235,796,11584,796
K294921243,351,4840,351
K294921309,36,336,36
K294921342,74,761,74
K294921375,206,2652,206
K294921383,72,604,72
K294921391,23,204,23
K294921425,2,72,2
K294921441,149,1429,149
K294921459,123,1242,123
K294921A27,441,5984,441
K295021133,436,3778,436
K295021141,512,4845,512
K295021159,414,3922,414
K295821129,563,9404,563
K295821145,340,4708,340
K295921143,108,1348,108
K295921151,128,1523,128
K295921176,52,696,52
K295921A34,146,1782,146
K2A3021101,135,1497,135
K2A3021103,28,292,28
K2A3021104,70,789,70
K2A3021105,134,1264,134
K2A3021106,28,333,28
K2A3021107,31,339,31
K2A3021108,52,366,52
K2A3021109,103,883,103
K2A3021148,60,753,60
K2A3021156,124,1819,124
K2A3021189,93,1200,93
K2A3021190,77,690,77
K2A4121121,43,212,43
K2A4121122,36,208,36
K2A4121123,226,3194,226
K2A4121124,186,4688,186
KK-00556,1520,46518,1520
KK-00925,777,8889,777
KK-00926,479,6008,479
KK-00927,416,5072,416
KK-00928,557,6470,557
KK-01163,615,13924,615
KK-01167,115,3011,115
KK-01168,105,2880,105
KK-01194,284,6778,284
KK-01300,871,22073,871
KK-0130443,1035,24712,1035
KK-01306,1329,31045,1329
KK-01371,1166,30339,1166
KK-03856,624,9310,624
KK-046080,676,7787,676
KK-047735,5,33,5
KK-05174,64,7061,64
KK-05846,8,1488,8
KK-06059,31,293,31
KK-06500,13,540,13
KK-06561,1504,42722,1504
KK-06611,10,677,10
KK-07010,195,3008,195
KK-08121,25,969,25
KK-1714242,170,3507,170
KK-1754,38,6088,38
KK-5708,4,48,4
KK-5791,6,57,6
KK-62500,1741,19835,1741
KK-62509,728,8766,728
KK-62631,785,9995,785
KK-62632,553,6455,553
KK-6411216,752,3287,752
KK-6411330,653,6699,653
KK-6411341,852,10796,852
KK-6411394,1314,36173,1314
KK-6411493,54,193,54
KK-6411495,812,21308,812
KK-6411496,468,11137,468
KK-66846,113,276,113
KK-67616,586,8343,586
KK-67618,373,5301,373
KK-68245,1737,19780,1737
KK-68246,2090,26067,2090
KK-68249,1452,17040,1452
KK-68623,12,1476,12
KK-69242,6537,336495,6537
KK-69243,2248,63681,2248
KK-69551,46,112,46
KK-71510,158,3416,158
KK-71518,1400,21311,1400
KK-71519,828,13972,828
KK-71525,1426,22440,1426
KK-71527,870,29100,870
KK-71528,445,9300,445
KK-71561,1249,18525,1249
KK-72687,50,5715,50
KK-75541,380,5447,380
KK-75558,235,3258,235
KK-77954,648,11480,648
KK-77956,557,8417,557
KK-77957,491,8439,491
KK-77959,787,24229,787
KK-79559,291,6859,291
KK-79868,768,10284,768
KK-79875,471,7016,471
KK-79882,603,7591,603
KK-80444,1053,13282,1053
KK-8613829,915,10062,915
KK-8613833,859,10096,859
KK-8681462,3932,117260,3932
KK-8681623,871,11026,871
KK-8681742,1072,16733,1072
KK-8682410,1703,32117,1703
KK-8682461,1481,26931,1481
KK-8682463,1107,19181,1107
KK-8688015,1078,35992,1078
KK-8688016,919,23273,919
KK-8688020,1335,38144,1335
KK-8688028,1828,66242,1828
KK-8688029,1009,28345,1009
KK-8688030,3497,123023,3497
KK-8688031,1488,54263,1488
KK-8688035,1282,48571,1282
KK-8688042,5153,199844,5153
KK-8688043,665,11307,665
KK-8689860,2288,77217,2288
KK-8689867,829,26019,829
KK-8714166,496,6997,496
KK-8714167,444,6505,444
KK-8714216,1119,13580,1119
KK-8714225,1242,14919,1242
KK-8714230,1378,19979,1378
KK-8714231,1526,19059,1526
KK-8714232,1415,20420,1415
KK-8714233,876,14021,876
KK-8714239,1918,23312,1918
KK-8714241,891,13612,891
KK-8714274,1114,15573,1114
KK-8714275,633,8464,633
KK-8714856,527,6491,527
KK-8722121,1385,15138,1385
KK-8722122,846,9254,846
KK-8724070,2601,27651,2601
KK-8727410,212,2000,212
KK-8727419,737,7858,737
KK-8727448,667,7185,667
KK-8733182,1505,18203,1505
KK-8733189,925,11267,925
KK-8737159,1123,11823,1123
KK-8739803,944,11724,944
KK-8861317,2641,83294,2641
KK-91803,1022,11517,1022
KK-91804,400,4324,400
KK-91807,1015,12440,1015
KK-94085,1440,49800,1440
KK-94806,40,4183,40
KK-94955,1238,14327,1238
KK-94959,619,7371,619
KK-98052,1229,14512,1229
KK-98053,639,6889,639
KK-98901,2016,26875,2016
KK-98953,483,5473,483
KK-98954,782,8873,782
KK-98956,969,11999,969
KK-98962,852,9847,852
KK-98963,538,6689,538
L2-09532,199,2499,199
L2-146203,72,600,72
L2-202368,64,838,64
L2-21140,110,1445,110
L2-211435,265,3664,265
L2-211558,179,2230,179
L2-21165,251,3267,251
L2-21167,244,2869,244
L2-21178,223,2792,223
L2-21462,22,415,22
L2-231242,47,594,47
L2-28139,65,954,65
L2-28158,59,938,59
L2-462041,7,426,7
L2-58352,91,2005,91
L2-82050,107,949,107
L2-86844,30,511,30
L291513166,252,3445,252
L291513281,4,36,4
L291513364,753,12040,753
L291513448,575,7883,575
L291513456,65,1043,65
L291613156,188,2422,188
L291813144,56,744,56
L291813177,148,1726,148
L2N3717169,248,2860,248
L2N3717177,267,3274,267
L2N3717193,260,3163,260
L2N3717268,249,3164,249
M0-77610,852,68238,852
M0-77614,2613,165848,2613
M0-77615,3334,266083,3334
M0-77616,2331,136580,2331
M0-77617,1548,90808,1548
M0-77618,1509,88467,1509
M0-77619,879,79757,879
M0-77621,212,9547,212
M0-77622,226,15440,226
M0-77624,187,9883,187
M0-77671,411,16929,411
M4-052448,2,36,2
M4-11048,100,441,100
M4-11100,1565,48602,1565
M4-11103,1160,21908,1160
M4-11108,677,3073,677
M4-11178,2417,113142,2417
M4-11179,2760,64666,2760
M4-11190,2794,73760,2794
M4-11199,2466,115798,2466
M4-11212,405,7541,405
M4-11228,1176,29344,1176
M4-11236,16,1422,16
M4-11238,10,66,10
M4-11242,1797,166200,1797
M4-11243,2110,187461,2110
M4-11245,1076,73721,1076
M4-11247,1133,22787,1133
M4-11249,453,5214,453
M4-11552,2247,143310,2247
M4-11554,3084,163056,3084
M4-11557,49,764,49
M4-115725,1146,62449,1146
M4-11574,1865,76466,1865
M4-115756,3323,55086,3323
M4-115763,1724,46345,1724
M4-115770,1390,24562,1390
M4-11596,22,440,22
M4-11597,427,2183,427
M4-11598,471,5500,471
M4-11646,2609,129188,2609
M4-11676,407,4917,407
M4-11677,42,591,42
M4-11678,35,414,35
M4-11679,19,75,19
M4-11689,348,3370,348
M4-11691,158,2079,158
M4-11692,450,4771,450
M4-11758,1433,98880,1433
M4-11925,1926,72460,1926
M4-11994Q,1465,72724,1465
M4-12113,1932,41813,1932
M4-12155,9,1140,9
M4-1229Q,1190,34297,1190
M4-12489,431,9304,431
M4-12865,51,1493,51
M4-13753,4,40,4
M4-15541Q,1336,67403,1336
M4-15558,3815,72811,3815
M4-15565,1931,80055,1931
M4-15572,1337,26290,1337
M4-15572Q,2,24,2
M4-15589,1010,10181,1010
M4-15596,1326,11813,1326
M4-15749Q,862,38852,862
M4-15787,1579,14240,1579
M4-16463Q,1121,59929,1121
M4-16470,3651,77521,3651
M4-16487,2109,71448,2109
M4-16494,1436,27894,1436
M4-16753,704,7758,704
M4-16821,183,1231,183
M4-19136,683,4191,683
M4-19172,403,4362,403
M4-19182,648,7605,648
M4-19199,858,9593,858
M4-19403,540,2586,540
M4-19472,658,6956,658
M4-19489,480,5156,480
M4-19496A,433,12266,433
M4-25244,282,4084,282
M4-2608576,537,6823,537
M4-2608577,332,3682,332
M4-2608581,462,6033,462
M4-26531,94,568,94
M4-2719121,12,1282,12
M4-2719859,36,413,36
M4-2719861,2006,71716,2006
M4-2719867,741,20726,741
M4-2719868,676,3477,676
M4-2719872,317,1355,317
M4-2719873,1263,12261,1263
M4-31202,399,7192,399
M4-31295,254,4490,254
M4-33522,57,1890,57
M4-33529,4,30,4
M4-33532,146,1201,146
M4-33533,4,28,4
M4-33534,12,4200,12
M4-510110,300,1362,300
M4-51110,581,26983,581
M4-51117Q,1484,75163,1484
M4-51124,2,30,2
M4-51164,2,45,2
M4-51166,6,90,6
M4-51167,568,7417,568
M4-51168,648,25816,648
