SKU,pick_count,total_quantity_picked,movement_frequency
25-1304521,322,3334,322
25-1304761,264,2812,264
25-13312,108,551,108
25-13332,243,1458,243
25-13361,327,2295,327
25-13765,177,1388,177
25-13771,241,3708,241
25-14127,280,3446,280
25-14226,345,3295,345
25-14760,531,9648,531
25-14778,2860,74409,2860
25-14785,2754,65541,2754
25-14842,745,7582,745
25-148426,10,227,10
25-15731,233,1854,233
25-15750,197,1563,197
25-15895,78,696,78
25-15897,81,799,81
25-15898,352,3456,352
25-15899,249,3122,249
25-16511,47,390,47
25-16612,13,144,13
25-16621,5,72,5
25-16624,4,48,4
25-16668,43,1778,43
25-16689,23,432,23
25-16692,54,717,54
25-17168,41,462,41
25-18084,287,3266,287
25-18202,180,1474,180
25-22731,154,1450,154
25-38062,155,2180,155
25-38529,1,6,1
25-41146,46,2034,46
25-41152,4,72,4
25-46570,509,4650,509
25-465707,8,91,8
25-47114,41,423,41
25-47154,4,24,4
25-47169,11,61,11
25-47178,22,279,22
25-47721,1267,22270,1267
25-47741,1256,25141,1256
25-71426,1,1,1
2544321616,425,8892,425
2544321624,444,8017,444
2544325170,4,67,4
2544325618,387,12167,387
2544325634,425,8194,425
2544825617,179,2877,179
2572370211,717,14869,717
2572370253,373,5507,373
2572370260,772,12142,772
2573524487,1553,30292,1553
2573524495,3,69,3
26-01431,43,258,43
26-02292,40,258,40
29-024065,1059,10480,1059
29-024089,974,10177,974
29-024799,1018,11589,1018
29-115331,152,1491,152
29-115355,345,4417,345
29-115379,287,3910,287
29-12182,922,14191,922
29-122209,46,707,46
29-122261,73,960,73
29-122308,713,33606,713
29-122353,494,13188,494
29-122391,199,4158,199
29-122414,1188,3366,1188
29-183328,1000,15161,1000
29-183403,1088,17921,1088
29-183472,587,8388,587
29-183519,667,8614,667
29-183540,775,1466,775
29-183571,493,5977,493
29-183588,996,16576,996
29-202748,26,3601,26
29-203596,110,1229,110
29-210173,153,1269,153
29-21691,339,8931,339
29-228871,84,1777,84
29-24123,234,2127,234
29-241826,112,1549,112
29-24437,1005,10243,1005
29-24720,1483,17824,1483
29-24751,1433,18725,1433
29-24775,1408,15958,1408
